,UEN,MATCHED_NAME,COMPANY_NAME,PIC_NAME,DESIGNATION,CONTACT_NUMBER_1_FORMATTED,CONTACT_NUMBER_2_FORMATTED,CONTACT_NUMBER_3_FORMATTED,ADDRESS,EMAIL_1,EMAIL_2,EMAIL_3,COMPANY_STATUS
71,52735300X,CROSSROADS CAFE,CROSSROADS CAFE,,,65 8289 5313,,,,mhrs.sindt.crossroads.cafe.restaurant.mgr@marriotthotels.com,,,LIVE
72,53230549C,DONG PO COLONIAL CAFE,DONG PO COLONIAL CAFE,,,65 6298 1318,,,,-,,,LIVE
73,199201419R,EAST OCEAN TEOCHEW RESTAURANT PTE LTD,EAST OCEAN TEOCHEW RESTAURANT,,,65 6235 9088,,,,eastoceantc@yahoo.com.sg,,,LIVE COMPANY
74,53376878X,DULCET & STUDIO,DULCET & STUDIO,,,65 6338 9248,,,,,,,LIVE
75,53087342K,"FAIRMONT, SINGAPORE",FAIRMONT SINGAPORE,,,65 6431 5055,,,,singapore@fairmont.com,,,LIVE
76,198802664G,FORMOSA DELIGHTS PTE LTD,FORMOSA DELIGHTS PTE LTD,,,65 9100 8206,65 6778 7398,,,formosa.delights@gmail.com, manager@formosadelights.com,,LIVE COMPANY
77,42595000W,GANDHI RESTAURANT,GANDHI RESTAURANT,,,65 9622 9281,,,,raj1978sg@yahoo.com.sg,,,LIVE
78,201707263C,HAN & HAN PRIVATE LIMITED,HAN,,,65 6336 2466,,,,contact@han.com.sg,,,LIVE COMPANY
79,200009275W,HARVEST SEAFOOD RESTAURANT PTE LTD,HARVEST SEAFOOD RESTAURANT,,,65 6538 9192,,,,harvestyap@hotmail.com,,,LIVE COMPANY
80,53023502A,HIMAWARI JAPANESE RESTAURANT,HIMAWARI JAPANESE RESTAURANT,,,65 6272 1110,,,,amy@himawari.com.sg,,,LIVE
81,53295765B,IDATEN UDON,IDATEN UDON,,,65 6238 7490,,,,contactus@res.com.sg,,,LIVE
82,200008062G,IKOI JAPANESE RESTAURANT PTE LTD,IKOI JAPANESE RESTAURANT,,,65 6887 3788,,,,ikoi.ckoh@gmail.com,,,LIVE COMPANY
83,201325938H,JUNSHIN EXPRESS PTE. LTD.,JUNSHIN EXPRESS PTE. LTD.,,,65 6844 9448,,,,sproject@junshinexpress.com.sg,,,LIVE COMPANY
84,199604788C,KHALSA RESTAURANT PTE LTD,KHALSA RESTAURANT,,,65 6297 6417,,,,,,,LIVE COMPANY
85,201602653C,KOMBI ROCKS PRIVATE LIMITED,KOMBI ROCKS,,,65 6288 1206,,,,wheels@kombirocks.com,,,LIVE COMPANY
86,53495243K,KOJI SUSHI BAR,KOJI SUSHI BAR,,,65 6225 6125,,,,koji@kojisushi.com.sg,,,LIVE
87,53269683B,LA TAPERIA,LA TAPERIA ,,,65 6737 8336,,,,,,,LIVE
88,198204068N,LONG BEACH SEAFOOD RESTAURANT PTE LTD,LONG BEACH SEAFOOD RESTAURANT,,,65 9812 1563,65 6338 9398,,,one@longbeachseafood.com.sg,,,LIVE COMPANY
89,52818689B,MAG'S WINE-KITCHEN,MAG'S WINE KITCHEN,,,65 6438 3836,,,,info@magswinekitchen.com,,,LIVE
90,53470743B,MEERA'S CURRY,MEERA'S CURRY,,,65 6298 2827,,,,,,,LIVE
91,53427809D,MY ART SPACE,MY ART SPACE,,,65 6222 1622,,,,info@myartspace.com.sg,,,LIVE
92,201430071M,NEKKID PRIVATE LIMITED,NEKKID,,,65 6694 0940,,,,wijaya@nakedfinn.com,,,LIVE COMPANY
93,53155440J,NALAN RESTAURANT,NALAN RESTAURANT ,,,65 6336 6404,65 9670 9430,,,thiru@fasttrack.com.sg, info@nalan.com.sg,,LIVE
94,53507875K,OLIVE & VINE,OLIVE VINE,,,65 6336 3746,,,,olivevine.2007@gmail.com,,,LIVE
95,53154888X,PHOENIX INDIAN RESTAURANT,PHOENIX INDIAN RESTAURANT,,,65 6468 1044,,,,karusmani@gmail.com,,,LIVE
96,T12LL0207G,PIETRO RISTORANTE ITALIANO LLP,PIETRO RISTORANTE ITALIANO,,,65 6484 5528,65 8523 4300,,,admin@passionforfood.com.sg,,,LIVE
97,52920798B,RABBIT BRAND SEAFOOD DELICACIES,"RABBIT BRAND SEAFOOD
  DELICACIES",,,65 6557 0874,,,,yeowseng@singnet.com.sg,,,LIVE
98,199301836K,QUE PASA PTE LTD,QUE PASA,,,65 6235 6626,,,,andyhoo@quepasa.com.sg,,,LIVE COMPANY
99,53207825W,RAKUICHI JAPANESE RESTAURANT,RAKUICHI JAPANESE RESTAURANT  ,,,65 8684 8669,65 6474 2143,,,rakuichirestaurant@gmail.com,,,LIVE
100,199906955D,RANG MAHAL PTE LTD,RANG MAHAL,,,65 6850 7967,,,,rangmahal@rangmahal.com.sg,,,LIVE COMPANY
101,52862661B,RIVERWALK TANDOOR,RIVERWALK TANDOOR,,,65 9061 7545,,,,sales@rwt.com.sg,,,LIVE
102,197200834W,ROLAND RESTAURANT PTE LTD,ROLAND RESTAURANT PTE LTD,,,65 8218 8011,,,,richard@rolandrestaurant.com.sg,,,LIVE COMPANY
103,199604816E,SAKAE HOLDINGS LTD.,SAKAE HOLDINGS LTD.,,,65 6496 0014,,,,,,,LIVE COMPANY
104,53264592L,SAIGON SANDWICH,SANDWICH SAIGON,,,65 9777 7519,,,,sandwichsg@gmail.com,,,LIVE
105,52888739D,SANTA FE TEX-MEX GRILL,SANTA FE TEX-MEX GRILL ,,,65 6278 5775,,,,olive@riverboat.com.sg, enquiry@santafetexmex.com.sg,,LIVE
106,53307195W,SEN OF JAPAN,SEN OF JAPAN,,,65 9644 1616,,,,ellie@soj.com.sg,,,LIVE
107,53107677J,SANKRANTI,SANKRANTI,,,65 6784 8498,,,,srinivas@sankranti.com,,,LIVE
108,52988046J,SHIMBASHI SOBA,SHIMBASHI SOBA ,,,65 6735 9882,,,,contactus@res.com.sg,,,LIVE
109,T15LL1604L,STELLA PROP LLP,STELLA,,,65 6214 9168,65 9088 0382,,,-,,,LIVE
110,200005753W,SPIZZICO PTE LTD,SPIZZICO ,,,65 6333 6174,65 9829 8222,,,enquiry@spizzico.sg, stong@spizzico.sg,,LIVE COMPANY
111,199003338C,SWEE CHOON TIM SUM RESTAURANT PTE LTD,SWEE CHOON TIM SUM RESTAURANT ,,,65 9633 7788,,,,ting7788@singnet.com.sg,,,LIVE COMPANY
112,53269079J,SUSHI JIN,SUSHI JIN,,,65 6443 3378,,,,sushijin@lesamis.com.sg,,,LIVE
113,200005527N,THE BOOK CAFE PTE LTD,THE BOOK CAFE,,,65 6887 5430,,,,anthonysiow@thebookcafe.com.sg,,,LIVE COMPANY
114,52993044K,THE CONNOISSEUR DIVAN,THE CONNOISSEUR DIVAN,,,65 6733 7141,,,,info@connoisseurdivan.com,,,LIVE
115,53080910M,THAI ACCENT,THAI ACCENT,,,65 6376 9282,,,,kenny@seacuisine.com.sg,,,LIVE
116,52929842B,THE PIZZA PLACE,THE PIZZA PLACE ,,,65 6336 1979,,,,info@thepizzaplace.com.sg,,,LIVE
117,53157767L,URBAN BITES,URBAN BITES,,,65 6327 9460,,,,info@urbanbites.com.sg,,,LIVE
118,33642600C,DELHI RESTAURANT,DELHI RESTAURANT,,,65 9273 2727,,,,dcuisines@live.com,,,LIVE
119,53290432W,FUMEE BY HABANOS,FUMEE BY HABANOS ,,,65 6835 7339,,,,helengoh@habanossg.com,,,LIVE
120,200107460K,SPIZZA PTE LTD,SPIZZA ,,,65 6220 4315,,,,,,,LIVE COMPANY
121,53295000C,FAT SAIGON BOY,FAT SAIGON BOY ,,,65 6221 6784,,,,writetofatsaigonboy@gmail.com,,,LIVE
122,53047307X,SPICE JUNCTION,SPICE JUNCTION,,,65 6341 7980,65 6341 7980,,,info@spicejunction.com.sg, dining@spicejunction.com.sg,,LIVE
123,53308553E,THE BLUE GINGER RESTAURANT,THE BLUE GINGER RESTAURANT ,,,65 6222 3928,65 9755 8603,,,alan.foo@theblueginger.com,,,LIVE
124,200208575M,MADAM KWAN'S PRIVATE LIMITED,MADAM KWAN'S ,,,65 6271 9989,,,,ethan@madamkwans.com.my,,,LIVE COMPANY
125,198600539H,SHASHLIK RESTAURANT PTE LTD,SHASHLIK RESTAURANT ,,,65 6732 6401,,,,enquiry@shashlik.sg,,,LIVE COMPANY
126,48318000M,GREENLAND VEGETARIAN RESTAURANT,GREENLAND VEGETARIAN RESTAURANT ,,,65 9788 9640,65 6282 8022,,,tbhuat@gmail.com,,,LIVE
127,199605953N,DESA KARTIKA PTE LTD,DESA KARTIKA PTE LTD ,,,65 6732 7372,,,,rose.desakartika@gmail.com,,,LIVE COMPANY
128,53070802K,JOE'S KITCHEN - THAI CUISINE,JOE'S KITCHEN THAI CUISINE ,,,65 6270 8484,65 9857 7007,65 6270 8484,,contact@joesthaikitchen.com,,,LIVE
129,T21LL0017F,PATTAYA GARDEN RESTAURANT LLP,PATTAYA GARDEN RESTAURANT ,,,65 6345 5266,,,,sales@pattayagarden.com.sg,,,LIVE
130,52873918B,DIVINE REALM VEGETARIAN RESTAURANT,DIVINE REALM VEGETARIAN RESTAURANT ,,,65 6387 2058,,,,,,,LIVE
131,197803106K,BENG HIANG RESTAURANT PTE LTD,BENG HIANG RESTAURANT ,,,65 6221 6695,,,,cindy.lim@benghiang.com,,,LIVE COMPANY
132,27168200X,SUMMER PALACE,SUMMER PALACE ,,,65 6725 3288,,,,address summerpalace@regentsingapore.com.sg,,,LIVE
133,47692400J,SHANG PALACE,SHANG PALACE ,,,65 6213 4473,,,,,,,LIVE
134,53194698C,YI JIA SOUTH VILLAGE SEAFOOD RESTAURANT,YI JIA SOUTH VILLAGE SEAFOOD RESTAURANT ,,,65 6747 8263,,,,bryanclarence@yahoo.com,,,LIVE
135,199407490E,AL FORNO (EAST COAST) PTE LTD,AL FORNO (EAST COAST) PTE LTD ,,,65 6348 8781,,,,contact@alfornoeastcoast.com.sg,,,LIVE COMPANY
136,53047239B,HONG KONG STREET FAMILY RESTAURANT BEDOK,HONG KONG STREET FAMILY RESTAURANT BEDOK ,,,65 6245 3881,65 6252 3132,,,,,,LIVE
137,37613900E,IZAKAYA NIJUMARU RESTAURANT,IZAKAYA NIJUMARU RESTAURANT ,,,65 6235 6693,65 6235 6693,,,izakayanijumaru@gmail.com,,,LIVE
138,53079726K,ISUSHI,ISUSHI ,,,65 6242 8652,,,,,,,LIVE
139,53102713M,BAR '75,BAR '75 ,,,65 6823 5355,,,,,,,LIVE
140,T08LL0166L,GOING OM LLP,GOING OM ,,,65 6396 3592,65 8363 5640,,,info@going-om.com.sg,,,LIVE
141,201531878E,KAI GARDEN PRIVATE LIMITED,KAI GARDEN ,,,65 6250 4826,,,,Kaiting@benefitcapital.asia,,,LIVE COMPANY
142,199800471K,IVINS PTE LTD,IVINS ,,,65 6288 7922,65 6468 3060,,,,,,LIVE COMPANY
143,53111479A,JING LONG SEAFOOD RESTAURANT,JING LONG SEAFOOD RESTAURANT ,,,65 6442 9398,65 6442 9398,,,jinglongseafood@gmail.com,,,LIVE
144,52820891L,GOLDEN PEONY,GOLDEN PEONY ,,,65 6432 7482,65 6432 7482,,,sinci.goldenpeony@conradhotels.com,,,LIVE
145,52985606M,TRAPIZZA,TRAPIZZA ,,,65 6376 2662,,,,,,,LIVE
146,52823476E,POR KEE EATING HOUSE 1996,POR KEE EATING HOUSE 1996 ,,,65 6221 0582,,,,,,,LIVE
147,199204594G,YAMAGAWA JAPANESE RESTAURANT PTE LTD,YAMAGAWA JAPANESE RESTAURANT ,,,65 6299 1175,,,,yamagawa@singnet.com.sg,,,LIVE COMPANY
148,53487903M,THE HORSE'S MOUTH,THE HORSE'S MOUTH ,,,65 6235 1088,,,,info@horsesmouthbar.com,,,LIVE
149,53127689M,MR PUNCH PUBLIC HOUSE,MR PUNCH PUBLIC HOUSE ,,,65 8339 8966,65 6339 6266,,,reservations@mrpunch.com,,,LIVE
150,53043315W,GREENWOOD FISH MARKET & BISTRO,GREENWOOD FISH MARKET & BISTRO ,,,65 6467 4950,,,,greenwood_alan@yahoo.com.sg,,,LIVE
151,53084659D,MADRINAA ITALIANO,MADRINAA ITALIANO ,,,65 6474 7342,,,,reservations@madrinaa.com,,,LIVE
152,53257521X,SEIWAA,SEIWAA ,,,65 6291 6084,,,,reservation@seiwaa.com.sg, business@seiwaa.com.sg,,LIVE
153,201622555E,SUPREME VEGE PRIVATE LIMITED,SUPREME VEGE ,,,65 6238 5085,,,,enquiry@supremevege.sg,,,LIVE COMPANY
154,200902940E,LE LE POT PRIVATE LIMITED,LE LE POT ,,,65 9666 3617,,,,icebox.yb@gmail.com,,,LIVE COMPANY
155,200007177M,G7 LIANG KEE RESTAURANT PTE LTD,G7 LIANG KEE RESTAURANT ,,,65 6278 7026,,,,,,,LIVE COMPANY
156,53147583B,ICE EDGE CAFE,ICE EDGE CAFE ,,,65 6858 5729,65 8218 1870,,,info.iceedgecafe@yahoo.com, Enquiries@iceedgecafe.com, admin@passionforfood.com.sg,LIVE
157,T16LL1445F,WARUNG KAMPUNG LLP,WARUNG KAMPUNG ,,,65 8666 6699,,,,warungkampung@hotmail.com,,,LIVE
158,199501789Z,SPROUT (SINGAPORE) PTE LTD,SPROUT ,,,65 9154 2022,,,,a.rahman@eatatsprout.com,,,LIVE COMPANY
159,53234232A,AJI-ICHI,AJI-ICHI ,,,65 6744 7732,,,,kinchoong_phang@astons.com.sg,,,LIVE
160,199906640M,BOTAN JAPANESE RESTAURANT PTE LTD,BOTAN JAPANESE RESTAURANT ,,,65 6536 4404,,,,botan@singnet.com.sg,,,LIVE COMPANY
161,53290504X,BEER FACTORY,BEER FACTORY ,,,65 9859 5603,,,,janverrdanantonio@yahoo.com, info@beerfactory.sg,,LIVE
162,200613802E,CUBA LIBRE PRIVATE LIMITED,CUBA LIBRE ,,,65 8817 5413,,,,trevor@cubalibre.com.sg, cq@cubalibre.asia,,LIVE COMPANY
163,52845846M,MACKENZIE REX RESTAURANT,MACKENZIE REX RESTAURANT ,,,65 6336 1702,,,,contactus@macrex.com.sg, ivanho3755@yahoo.com.sg,,LIVE
164,53122245D,JING,JING ,,,65 6224 0088,,,,bong@jing.sg,,,LIVE
165,200906274K,NAKED FINN PRIVATE LIMITED,NAKED FINN ,,,65 6694 0807,,,,,,,LIVE COMPANY
166,53094152W,BISMILLAH BIRYANI RESTAURANT,BISMILLAH BIRYANI RESTAURANT ,,,65 9382 7937,,,,sasalahuddin@gmail.com,,,LIVE
167,53259614E,KOREAN FUSION BBQ,KOREAN FUSION BBQ ,,,65 6291 4468,,65 6291 4468,,cv.kfbbq@gmail.com,,,LIVE
168,53215651W,ANGMOH NOODLE HOUSE,ANGMOH NOODLE HOUSE ,,,65 6744 9911,,,,angmoh@mingsay.com.sg,,,LIVE
169,31593600B,SIN HENG CLAYPOT BAK KOOT TEH,SIN HENG CLAYPOT BAK KOOT TEH ,,,65 6345 8754,,,,adrian.neo78@gmail.com,,,LIVE
170,53199820K,CHUAN WEI XUAN,CHUAN WEI XUAN ,,,65 6348 8003,,,,,,,LIVE
171,53462357C,SIMPLY WESTERN FOOD,SIMPLY WESTERN FOOD ,,,65 6344 0354,,,,hernandoedward@gmail.com,,,LIVE
172,201304415E,BLACK EARTH PRIVATE LIMITED,BLACK EARTH ,,,65 6346 4558,,,,,,,LIVE COMPANY
173,53275396L,LAAF,LAAF ,,,65 6247 7913,,,,ange@laaf.sg,,,LIVE
174,201205104K,CHAMPS FOOD PTE. LIMITED,FOOD CHAMPS ,,,65 6297 1612,,,,kelvin.weiwei@gmail.com,,,LIVE COMPANY
175,T15LL0256G,JAG WINE LLP,JAG WINE ,,,65 6348 1778,,,,azzam@jagwine.com,,,LIVE
176,53453721M,MOJO SG,MOJO ,,,65 6220 0723,,,,hello@mojosingapore.com,,,LIVE
