ePOS Code,Company Code,Date,ACRA REGISTERED NAME,Brand/Deal Name/Business Name,Sub Domain Link (If Lead is already available in Backend) Fill only when EPOS client,Tele Sales or MR (For KPI - Internal),Name of the Market Researcher,Original Source (Marketing),"Marketing Source (Do not fill anything if the leads are from Hubspot, EPOS clients)",Company Registration date / Date Established,Company Registration Number (UEN),Primary SSIC Code,Secondary SSIC Code,Hubspot ID (Company),Hubspot ID(Deal),Hubspot ID(Contact),Website URL,Business Type,Facebook Page,Instagram URL,Linkedin URL,Tik Tok URL,Ownership Type,Parent Industry Type,Industry Type,Sub Industry,Business model,Presence of Multiple Outlets,Number of Outlets (Write in #),Region,Planning Area,Business Location Type,Registered Address (Block & Street),Registered Address  (Unit #),Registered Address  (Postal code),"Operational Address 
(Block & Street)","Operational Address 
(Unit #)","Operational Address 
(Postal Code)",Operational Address Type,First Name,Last Name,PIC Name 1 Designation,PIC NAME 1 Contact Number,PIC 1 email address,First Name 2,Last Name 2,PIC Name 2 Designation,PIC NAME 2 Contact Number,PIC 2 email address,First Name 3,Last Name 3,PIC Name Designation 3,PIC NAME 3 Contact Number,PIC 3 email address,FB/Insta/Tik Tok/Linkedin Contact,Current ePOS Client ?,"If ePOS Client, which product they are using?",Is this deal part of the Gov List?,Source from Market Researcher,Contact Number from Lusha?,Phone number Verified ?
,,16/12/2025,GAO JI FOOD (S) PTE LTD,GAO JI FOOD S,,TeleSales,,Offline Sources,Adhoc,,199403084M,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6773 7878,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,GEORGE TOWN TZE CHAR AND CRAFT BEER LLP,GEORGE TOWN TZE CHAR AND CRAFT BEER,,TeleSales,,Offline Sources,Adhoc,,T06LL0243E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9682 3826,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,GOOD COFFEE PLEASE LLP,GOOD COFFEE PLEASE,,TeleSales,,Offline Sources,Adhoc,,T15LL1267K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9010 6454,jh@good-coffeeplease.com,,,,,vp@good-coffeeplease.com,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,GRAPEVINE CAFE BAR & RESTAURANT LLP,GRAPEVINE CAFE BAR & RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,T07LL0769F,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9009 6861,lesmich236@gmail.com,,,,,grapevineintel@gmail.com,,,,,finance.grapevinevenue@gmail.com,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,HAO LAI WU FOOD ENTERPRISE,HAO LAI WU FOOD,,TeleSales,,Offline Sources,Adhoc,,53339840A,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8339 8649,limrichstep@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,HENRY DINING PTE. LTD.,HENRY DINING,,TeleSales,,Offline Sources,Adhoc,,201704518G,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9105 8156,c133788@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,HOONG YING ENTERPRISE PRIVATE LIMITED,HOONG YING,,TeleSales,,Offline Sources,Adhoc,,201317788W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9661 5449,yeow_tk@hsg.com.sg,,,,,jennifer_sia@hsg.com.sg,,,,,gina_lim@hsg.com.sg,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,HOT PALETTE (ASIA PACIFIC) PTE. LTD.,HOT PALETTE ASIA PACIFIC,,TeleSales,,Offline Sources,Adhoc,,200408968W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,,winnie@hotpalette-apac.com,,,,,celiatan@hotpalette-apac.com,,,,,sylim@hotpalette-apac.com,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,ICHI TEI JAPANESE CUISINE (2009),ICHI TEI JAPANESE CUISINE 2009,,TeleSales,,Offline Sources,Adhoc,,53381900L,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9139 1746,ichitei@hotmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,ILLUZION,ILLUZION,,TeleSales,,Offline Sources,Adhoc,,53048863M,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9106 3912,astickysituation.illuzion@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,JARS VENTURES PRIVATE LIMITED,JARS VENTURES,,TeleSales,,Offline Sources,Adhoc,,201433677N,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9225 6558,janice.lim@jars-ventures.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,JIA WEI FOOD HUB PRIVATE LIMITED,JIA WEI FOOD HUB,,TeleSales,,Offline Sources,Adhoc,,201023648N,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9106 1932,sharon.tan88888@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,KACA COFFEE LLP,KACA COFFEE,,TeleSales,,Offline Sources,Adhoc,,T19LL0800E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8168 5283,kacacoffeehouse@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,KAI DUCK PRIVATE LIMITED,KAI DUCK,,TeleSales,,Offline Sources,Adhoc,,201910596G,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9049 3153,kaiting@benefitcapital.asia,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,MAKANPANDA WESTERN PRIVATE LIMITED,MAKANPANDA WESTERN,,TeleSales,,Offline Sources,Adhoc,,201941471D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9096 0066,dave.ker77@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,MING CHUNG PTE. LTD.,MING CHUNG,,TeleSales,,Offline Sources,Adhoc,,201129730K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9622 0726,peterho@mingchung.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,MONZEN@GARDEN,MONZEN@GARDEN,,TeleSales,,Offline Sources,Adhoc,,53395289A,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9119 0700,alfredngys@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,MOUNTAIN COFFEE,MOUNTAIN COFFEE,,TeleSales,,Offline Sources,Adhoc,,53188868A,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9040 0002,yorasze@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,NANA THAI WOK RESTAURANT LLP,NANA THAI WOK RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,T12LL0905G,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9247 0816,restaurantnanathai@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,OCTAPAS PRIVATE LIMITED,OCTAPAS,,TeleSales,,Offline Sources,Adhoc,,200403500N,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9732 4435,henny@octapasasia.com,,,,,kc@pvglobal.com.sg,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,PASTIME,PASTIME,,TeleSales,,Offline Sources,Adhoc,,53397104K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9620 2019,andy@ftgroup.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,PTF PTE. LTD.,PTF,,TeleSales,,Offline Sources,Adhoc,,201223693K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9353 0860,craig@ptig.email,,,,,julie@rightchoice.email,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,RED MARBLE PTE. LTD.,RED MARBLE,,TeleSales,,Offline Sources,Adhoc,,201916251R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9639 8668,oneprawnnoodle@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,REMNANT ENTERPRISE PTE LTD,REMNANT,,TeleSales,,Offline Sources,Adhoc,,200106258Z,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6447 0797,sarah@remnants.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SHI SHENG CLAYPOT FROG,SHI SHENG CLAYPOT FROG,,TeleSales,,Offline Sources,Adhoc,,52818326E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8333 9999,scz9d@yahoo.com.sg,,,,,multienergysavings@gmail.com,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SHIVAM RESTAURANT PTE. LTD.,SHIVAM RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,201807681G,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9673 6653,krishnamani_k@yahoo.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SIAM SQUARE MOOKATA LLP,SIAM SQUARE MOOKATA,,TeleSales,,Offline Sources,Adhoc,,T15LL0082A,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9056 8070,rose@pocoloco.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SMOKE & ATELIER CO PTE. LTD.,SMOKE & ATELIER,,TeleSales,,Offline Sources,Adhoc,,202144640H,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8894 7367,wangmrcs@yahoo.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SOFRA INTERNATIONAL FOOD PTE LTD,SOFRA FOOD,,TeleSales,,Offline Sources,Adhoc,,199905003K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9616 2886,accounts@sofra.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SUMMIT CATERING SERVICES PTE LTD,SUMMIT CATERING,,TeleSales,,Offline Sources,Adhoc,,199704731E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9145 6813,marinecorner@singnet.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SUN KOPITIAM,SUN KOPITIAM,,TeleSales,,Offline Sources,Adhoc,,52946635W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8686 8656,sunkopitiam@hotmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,EDO SUSHI PTE LTD,SUSHI EDO,,TeleSales,,Offline Sources,Adhoc,,199409611R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6348 6613,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,SUSHI-TEI PTE LTD,SUSHI TEI,,TeleSales,,Offline Sources,Adhoc,,199405285E,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6376 2221,geokhoen@sushitei.com,,,,,gavinng@sushitei.com,,,,,finance@sushitei.com,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,TANG KAY KEE EATING STALL,TANG KAY KEE EATING STALL,,TeleSales,,Offline Sources,Adhoc,,42899000B,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8157 2641,debbieywg@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,THE FROSTED CHICK,THE FROSTED CHICK,,TeleSales,,Offline Sources,Adhoc,,53264074L,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9488 2226,frostedsg@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,THE PLANT FOOD.CO,THE PLANT FOOD,,TeleSales,,Offline Sources,Adhoc,,53437094B,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8182 4577,theplantfood.co@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,THIAM YIAN CONFECTIONERY,THIAM YIAN CONFECTIONERY,,TeleSales,,Offline Sources,Adhoc,,39513200B,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6458 1478,thiamyianconfectionery@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,HEPO KEJIA LEICHA SUPPLY,HEPO KEJIA LEICHA SUPPLY,,TeleSales,,Offline Sources,Adhoc,,53080254J,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9339 8979,hello@thunderbolt.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,UDC PTE. LTD.,UDC,,TeleSales,,Offline Sources,Adhoc,,201101430Z,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8343 1521,chaitali@angloindian.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,VEGANFOODS GLOBAL PRIVATE LIMITED,VEGANFOODS,,TeleSales,,Offline Sources,Adhoc,,201115099Z,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9726 8297,mayuri@veganburg.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,VICTORY BOAT NOODLE CAFE LLP,VICTORY BOAT NOODLE CAFE,,TeleSales,,Offline Sources,Adhoc,,T16LL1912B,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8126 2168,victoryboatnoodlescafe@hotmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,WALA WALA CAFE BAR PTE LTD,WALA WALA CAFE BAR,,TeleSales,,Offline Sources,Adhoc,,199606638R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6462 4288,stanley@walawala.sg,,,,,accounts@walawala.sg,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,WARUNG M NASIR,WARUNG M NASIR,,TeleSales,,Offline Sources,Adhoc,,53041278X,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9010 5188,warungmnasir@yahoo.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,WEI DAO FOOD PTE. LTD.,WEI DAO FOOD,,TeleSales,,Offline Sources,Adhoc,,201924528D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6533 2477,pacificmanpower168@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,YHINGTHAI PALACE RESTAURANT PTE LTD,YHINGTHAI PALACE RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,198703403D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6337 1161,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,YUAN WEI QUAN VEGETARIAN PTE. LTD.,YUAN WEI QUAN VEGETARIAN,,TeleSales,,Offline Sources,Adhoc,,200300417R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9687 8535,candrafst@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,1-ALTITUDE,1 ALTITUDE,,TeleSales,,Offline Sources,Adhoc,,53169923D,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6773 0070,info@1-altitude.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,A B MOHAMED RESTAURANT,ABMOHAMED RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,35250000W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6298 1010,abmrest@abmgroup.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,AGLIO OLIO BISTRO LLP,AGLIO OLIO BISTRO,,TeleSales,,Offline Sources,Adhoc,,T06LL1303L,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6327 3622,clement@aglioolio.com.sg,,,,65 6266 0643,glio@aglioolio.com.sg,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,AMIRAH'S GRILL RESTAURANT & CAFE,AMIRAHS GRILL RESTAURANT & CAFE,,TeleSales,,Offline Sources,Adhoc,,52898174M,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 5938 3199,enquiry@amirahsgrill.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,328 KATONG LAKSA,328 KATONG LAKSA,,TeleSales,,Offline Sources,Adhoc,,52908915K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9732 8163,328katonglaksa@gmail.com,,,,,jamesleeweijie@gmail.com,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,ASIAN HALALFOOD PTE. LTD.,ASIAN HALALFOOD,,TeleSales,,Offline Sources,Adhoc,,200608015W,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6261 6887,ashraffali2001@gmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,BONKERS PUB LLP,BONKERS PUB,,TeleSales,,Offline Sources,Adhoc,,T06LL1594A,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6226 3817,bonkerschng@hotmail.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,BRAZIL CHURRASCO,BRAZIL CHURRASCO,,TeleSales,,Offline Sources,Adhoc,,51207300K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9657 2472,mugan@brazilchurrasco.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,BREAD STREET KITCHEN PTE. LIMITED,BREAD STREET KITCHEN,,TeleSales,,Offline Sources,Adhoc,,201421750R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6688 5665,john.quetier@marinabaysands.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,CHEF'S TABLE,CHEFS TABLE,,TeleSales,,Offline Sources,Adhoc,,53417137X,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6224 4188,chefstable@2015l.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,CHENG'S SEAFOOD VILLAGE,CHENGS SEAFOOD VILLAGE,,TeleSales,,Offline Sources,Adhoc,,53034617J,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6892 5590,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,CROSSROADS CAFE,CROSSROADS CAFE,,TeleSales,,Offline Sources,Adhoc,,52735300X,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 8289 5313,mhrs.sindt.crossroads.cafe.restaurant.mgr@marriotthotels.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,DONG PO COLONIAL CAFE,DONG PO COLONIAL CAFE,,TeleSales,,Offline Sources,Adhoc,,53230549C,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6298 1318,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,EAST OCEAN TEOCHEW RESTAURANT PTE LTD,EAST OCEAN TEOCHEW RESTAURANT,,TeleSales,,Offline Sources,Adhoc,,199201419R,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6235 9088,eastoceantc@yahoo.com.sg,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,DULCET & STUDIO,DULCET & STUDIO,,TeleSales,,Offline Sources,Adhoc,,53376878X,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6338 9248,,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,"FAIRMONT, SINGAPORE",FAIRMONT,,TeleSales,,Offline Sources,Adhoc,,53087342K,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 6431 5055,singapore@fairmont.com,,,,,,,,,,,,,,Gov List,"ACRA, Google Searches",,
,,16/12/2025,FORMOSA DELIGHTS PTE LTD,FORMOSA DELIGHTS,,TeleSales,,Offline Sources,Adhoc,,198802664G,,,,,,,,,,,,,,,,"B2C, Offline",,,,,,,,,,,,,,,,65 9100 8206,formosa.delights@gmail.com,,,,65 6778 7398,manager@formosadelights.com,,,,,,,,,Gov List,"ACRA, Google Searches",,
